Time,Amplitude
2.39,0.003529548
2.4,-0.013085062
2.41,-0.019114558
2.42,-0.005045735
2.43,-0.009065399
2.44,-0.00558169
2.45,0.005137414
2.46,0.001385727
2.47,0.007147246
2.48,0.013042753
2.49,0.010630954
2.5,0.007013257
2.51,0.018268316
2.52,0.020546125
2.53,0.001787694
2.54,-0.004241802
2.55,0.011970842
2.56,0.010630954
2.57,0.001251739
2.58,0.001385727
2.59,0.003797526
2.6,0.006477302
2.61,0.00661129
2.62,0.007281234
2.63,0.004601459
2.64,0.009827022
2.65,0.010496966
2.66,0.009157078
2.67,0.003395559
2.68,-0.002767925
2.69,0.010496966
2.7,0.017196405
2.71,0.019072248
2.72,0.019072248
2.73,0.019072248
2.74,0.022421968
2.75,0.018000338
2.76,0.021752024
2.77,0.011032921
2.78,-0.007457533
2.79,-0.016032816
2.8,-0.019918491
2.81,-0.008663432
2.82,0.00446747
2.83,-0.000758093
2.84,0.010630954
2.85,0.009559044
2.86,-0.018980569
2.87,0.001385727
2.88,0.170345598
2.89,0.391159132
2.9,0.274320902
2.91,-0.217016008
2.92,-0.339213789
2.93,-0.093746317
2.94,-0.01000332
2.95,-0.004509779
2.96,0.005807358
2.97,0.006075335
2.98,0.016928428
2.99,0.014784607
3,0.013444719
3.01,0.0244318
3.02,0.014114663
3.03,0.00996101
3.04,0.02001017
3.05,0.021886013
3.06,0.019474215
3.07,0.018804271
3.08,0.017464383
3.09,0.012372809
3.1,0.003261571
3.11,0.002457638
3.12,0.010228988
3.13,-0.00223197
3.14,-0.015094894
3.15,-0.005179723
3.16,-0.01228113
3.17,-0.016568771
3.18,-0.003973824
3.19,0.003663537
3.2,0.005003425
3.21,0.008487134
3.22,0.013444719
3.23,0.012506797
3.24,0.011568876
3.25,0.013980674
3.26,0.022689946
3.27,0.010630954
3.28,-8.81E-05
3.29,0.002457638
3.3,0.011434887
3.31,0.005673369
3.32,0.00111775
3.33,0.000849772
3.34,-0.001294048
3.35,0.01116691
3.36,0.014248652
3.37,0.001385727
3.38,0.001519716
3.39,0.010630954
3.4,0.006209324
3.41,0.007415223
3.42,0.01331073
3.43,0.004735447
3.44,0.01666045
3.45,0.020948092
3.46,0.015722529
3.47,0.011568876
3.48,0.009425055
3.49,0.018536293
3.5,0.026173655
3.51,-0.000356127
3.52,-0.025813998
3.53,-0.018176637
3.54,-0.004375791
3.55,0.001385727
3.56,0.008487134
3.57,0.006343313
3.58,0.000313817
