Time,Amplitude
0,-0.053683667
0.01,-0.019114558
0.02,-0.012147141
0.03,-0.006519611
0.04,0.005137414
0.05,0.000313817
0.06,-0.001428037
0.07,-0.009869331
0.08,0.018134327
0.09,0.211078191
0.1,0.401476269
0.11,0.19231976
0.12,-0.28910198
0.13,-0.31683766
0.14,-0.04108872
0.15,0.006343313
0.16,-0.015630849
0.17,-0.003973824
0.18,0.009827022
0.19,0.008219156
0.2,0.00996101
0.21,0.012506797
0.22,0.023761856
0.23,0.035284893
0.24,0.016392472
0.25,0.012640786
0.26,0.019206237
0.27,0.013846685
0.28,0.005405391
0.29,0.00996101
0.3,0.01116691
0.31,0.008621122
0.32,-0.001294048
0.33,-0.005045735
0.34,0.000983761
0.35,-0.007591522
0.36,-0.01000332
0.37,-0.011745174
0.38,-0.014960905
0.39,-0.004509779
0.4,4.58E-05
0.41,0.001251739
0.42,0.016392472
0.43,0.016928428
0.44,0.007147246
0.45,0.023493879
0.46,1.32E-02
0.47,-0.003035903
0.48,-0.000758093
0.49,0.011300898
0.5,0.014784607
0.51,0.000715784
0.52,0.004735447
0.53,0.009827022
0.54,-0.002097981
0.55,0.005137414
0.56,0.015990506
0.57,0.01558854
0.58,0.020144159
0.59,0.03448096
0.6,0.030997251
0.61,0.015320562
0.62,0.009157078
0.63,-0.02005248
0.64,-0.039614844
0.65,-0.020186468
0.66,-0.004911746
0.67,0.00553938
0.68,0.000715784
0.69,-0.002499948
0.7,0.004333481
0.71,-0.010941242
0.72,0.110318618
0.73,0.333409961
0.74,0.3245667
0.75,-0.085305023
0.76,-0.351674747
0.77,-0.144930036
0.78,-0.007859499
0.79,-0.0066536
0.8,0.000849772
0.81,-0.002633936
0.82,0.007147246
0.83,0.022823935
0.84,0.017598372
0.85,0.017062416
0.86,0.01893826
0.87,0.014784607
0.88,0.01773236
0.89,0.017598372
0.9,0.026307643
0.91,0.030193318
0.92,0.013578708
0.93,0.002725615
0.94,0.000715784
0.95,0.007415223
0.96,-0.002365959
0.97,-0.005313712
0.98,-0.008261466
0.99,-0.017372704
1,-0.007591522
1.01,-0.003839836
1.02,0.000313817
1.03,-0.00116006
1.04,0.003261571
1.05,0.011836853
1.06,0.012774775
